Segment_1|SIL/ /P/A_A/R/A/D_D/A/T_H/T_H/I/N/ /T_H/A_E_H/L/A/I/S/I/R_R/A_E_H/N/D_H/A/ /V/I/N_C_H/N_C_H/A_A/N/I/ /D_Z/A/X/A/D_D/I_I/S/ /S/A_E_H/N/D_H/U_I/R/A/ /P/O_O/S/ /SIL|SIL/ /P/A_A/R/A/D_D/A/T_H/T_H/I/N/ /T_H/A_E_H/L/A/I/S/I/R_R/A_E_H/N/D_H/A/ /V/I/N_C_H/N_C_H/A_A/N/I/ /D_Z/A/X/A/D_D/I_I/S/ /S/A_E_H/N/D_H/U_I/R/A/ /P/O_O/S/ /SIL
Segment_2|SIL/ /D_Z/A/X/A/D_D/I_I/S/C_H/A_E_H/N/D_H/U_I/R/A/ /P/O_O/S/ /A/V/A_E_H/R/K/A/L_L/I/N/ /K/A/N_N/D/U/F/I/R_D/I/P/P/A_A/X/I/Y/A/ /K/A/M/B/I/Y/I/L/L/A_A/T_H/ /T_H/A_E_H/N/D_H/I/ /M/A_A/R/K/K/O_O/N/I/K/K/U_I/ /M/U/N/D_H/A/I/Y/A/D_D/U/ /SIL|SIL/ /D_Z/A/X/A/D_D/I_I/S/C_H/A_E_H/N/D_H/U_I/R/A/ /P/O_O/S/ /A/V/A_E_H/R/K/A/L_L/I/N/ /K/A/N_N/D/U/F/I/R_D/I/P/P/A_A/X/I/Y/A/ /K/A/M/B/I/Y/I/L/L/A_A/T_H/ /T_H/A_E_H/N/D_H/I/ /M/A_A/R/K/K/O_O/N/I/K/K/U_I/ /M/U/N/D_H/A/I/Y/A/D_D/U/ /SIL
Segment_3|SIL/ /I/K/K/A_E_H/R/U/T_H/T_H/A/I/T_H/ /T_H/A/R_R/C_H/E/Y/A_E_H/L/A_A/X/A/K/ /K/E_E_X/T_T/T_T/A/D_D/U/M/ /N/A_A/N/ /N/A/R_D/A/I/F/A_A/D_D/A/I/ /O_O/R/A/M/A_A/X/A/ /A/R_R/I/V/I/Y/A_E_H/L/ /V/I/V/A_A/D_D/A/M/ /S/E/Y/T_H/U/ /K/O/N_N/D/U/ /S/E/N/D_H/R/A/ /P/E_E/R/A_A/S/U_I/R/I/Y/A_E_H/R/K/A/L_L/ /K/U_I/Z_H/U/V/I/N/ /S/A/M/I_I/F/A/T_H/T_H/I/L/ /S/E/N/D_H/R/E_E/N/ /SIL|SIL/ /I/K/K/A_E_H/R/U/T_H/T_H/A/I/T_H/ /T_H/A/R_R/C_H/E/Y/A_E_H/L/A_A/X/A/K/ /K/E_E_X/T_T/T_T/A/D_D/U/M/ /N/A_A/N/ /N/A/R_D/A/I/F/A_A/D_D/A/I/ /O_O/R/A/M/A_A/X/A/ /A/R_R/I/V/I/Y/A_E_H/L/ /V/I/V/A_A/D_D/A/M/ /S/E/Y/T_H/U/ /K/O/N_N/D/U/ /S/E/N/D_H/R/A/ /P/E_E/R/A_A/S/U_I/R/I/Y/A_E_H/R/K/A/L_L/ /K/U_I/Z_H/U/V/I/N/ /S/A/M/I_I/F/A/T_H/T_H/I/L/ /S/E/N/D_H/R/E_E/N/ /SIL
Segment_4|SIL/ /P/A_A/R/A/D_D/A/M/ /A_A/N/M/I_I/X/A/T_H/T_H/I/L/ /M/A/T_T/T_T/U/M/ /A/L/L/A_A/D_D/U/ /I/Y/A/R_R/P/I/Y/A_E_H/L/I/L/U/M/ /P/E/R/U/M/ /P/A/N_G/G/U/ /V/A/X/I/K/K/A/ /M/U/R_D/I/Y/U/M/ /E/N/D_H/R_R/A/ /U/N_N/M/A/I/Y/I/L/ /SIL|SIL/ /P/A_A/R/A/D_D/A/M/ /A_A/N/M/I_I/X/A/T_H/T_H/I/L/ /M/A/T_T/T_T/U/M/ /A/L/L/A_A/D_D/U/ /I/Y/A/R_R/P/I/Y/A_E_H/L/I/L/U/M/ /P/E/R/U/M/ /P/A/N_G/G/U/ /V/A/X/I/K/K/A/ /M/U/R_D/I/Y/U/M/ /E/N/D_H/R_R/A/ /U/N_N/M/A/I/Y/I/L/ /SIL
Segment_5|SIL/ /E/N/A/K/K/U_I/ /U_I/R/U/N/D_H/A/ /A_A/R/V/A/M/ /M/I/X/U/N/D_H/A/ /A/K/K/A/R_R/A/I/Y/A/I/ /E/N/N/A_A/L/ /M/A/R_R/U/K/K/A/ /M/U/R_D/I/Y/A_A/D_D/U/ /SIL|SIL/ /E/N/A/K/K/U_I/ /U_I/R/U/N/D_H/A/ /A_A/R/V/A/M/ /M/I/X/U/N/D_H/A/ /A/K/K/A/R_R/A/I/Y/A/I/ /E/N/N/A_A/L/ /M/A/R_R/U/K/K/A/ /M/U/R_D/I/Y/A_A/D_D/U/ /SIL
Segment_6|SIL/ /T_H/A_A/V/A_E_H/R/A/ /I/Y/A_E_H/L/ /N/I/F/U_I/N_N/A_E_H/R/A_A/X/A/ /A/V/A_E_H/R/U/R_D/A/I/Y/A/ /P/U_I/R/A/T_T/C_H/I/X/A_E_H/R/A/M/A_A/N/A/ /K/A/N_N/D/U/F/I/R_D/I/P/P/U_I/X/A/L_L/ /I/Y/A_E_H/L/P/I/Y/A_E_H/L/ /N/I/F/U_I/N_N/A_E_H/R/A_A/X/A/ /A/V/A_E_H/R/ /K/A/N_N/D/U/ /P/I/R_D/I/T_H/T_H/A/ /M/U/K/K/I/Y/A/M/A_A/N/A/ /S/A_A/D_D/A_E_H/N/A/I/X/A/L_L/A/I/Y/U/M/ /M/I/N_C_H/I/ /V/I/T_T/T_T/A_E_H/N/A/ /SIL|SIL/ /T_H/A_A/V/A_E_H/R/A/ /I/Y/A_E_H/L/ /N/I/F/U_I/N_N/A_E_H/R/A_A/X/A/ /A/V/A_E_H/R/U/R_D/A/I/Y/A/ /P/U_I/R/A/T_T/C_H/I/X/A_E_H/R/A/M/A_A/N/A/ /K/A/N_N/D/U/F/I/R_D/I/P/P/U_I/X/A/L_L/ /I/Y/A_E_H/L/P/I/Y/A_E_H/L/ /N/I/F/U_I/N_N/A_E_H/R/A_A/X/A/ /A/V/A_E_H/R/ /K/A/N_N/D/U/ /P/I/R_D/I/T_H/T_H/A/ /M/U/K/K/I/Y/A/M/A_A/N/A/ /S/A_A/D_D/A_E_H/N/A/I/X/A/L_L/A/I/Y/U/M/ /M/I/N_C_H/I/ /V/I/T_T/T_T/A_E_H/N/A/ /SIL
Segment_7|SIL/ /T_H/A_E_H/N/I/M/A/I/Y/A/I/ /N/A_A/R_D/U_I/M/ /A_A/Z_H/N/D_H/A/ /S/U/F/A_A/V/A/M/U/R_D/A/I/Y/A/ /A/T_H/T_H/A_A/V/A_E_H/R/A/V/I/Y/A_E_H/L/ /N/I/F/U_I/N_N/A_E_H/R/ /E/N/N/A/I/ /A/N/B/U_I/R_D/A_E_H/N/ /V/A_E_H/R/A/V/E_E/T_R/T_R/A_A/R/ /SIL|SIL/ /T_H/A_E_H/N/I/M/A/I/Y/A/I/ /N/A_A/R_D/U_I/M/ /A_A/Z_H/N/D_H/A/ /S/U/F/A_A/V/A/M/U/R_D/A/I/Y/A/ /A/T_H/T_H/A_A/V/A_E_H/R/A/V/I/Y/A_E_H/L/ /N/I/F/U_I/N_N/A_E_H/R/ /E/N/N/A/I/ /A/N/B/U_I/R_D/A_E_H/N/ /V/A_E_H/R/A/V/E_E/T_R/T_R/A_A/R/ /SIL
Segment_8|SIL/ /A/V/A_E_H/R/ /A/Z_H/A/X/A_A/X/A/ /T_H/I/R_D/A/X/A_A/T_H/T_H/U_I/R/A/M/A_A/X/A/ /S/U/M/A_A/R/ /A/I/M/B/A/D_D/U/K/K/U_I/ /M/E_E/L/ /V/A_E_H/Y/A/D_D/U/R_D/A/I/Y/A/V/A_E_H/R/A_A/X/A/V/U_I/M/ /SIL|SIL/ /A/V/A_E_H/R/ /A/Z_H/A/X/A_A/X/A/ /T_H/I/R_D/A/X/A_A/T_H/T_H/U_I/R/A/M/A_A/X/A/ /S/U/M/A_A/R/ /A/I/M/B/A/D_D/U/K/K/U_I/ /M/E_E/L/ /V/A_E_H/Y/A/D_D/U/R_D/A/I/Y/A/V/A_E_H/R/A_A/X/A/V/U_I/M/ /SIL
Segment_9|SIL/ /A/X/A_E_H/N/D_H/R/A/ /N/E/T_R/T_R/I/ /A/R_D/A_E_H/R/T_H/T_H/I/Y/A_A/N/A/ /K/E_E/S/A/M/ /E/N_G/G/O_O/ /K/A_E_H/N/A/V/U_I/L/A/X/A/T_H/T_H/I/L/ /N/I/L/A/I/T_H/T_H/U_I/R/U/P/P/A/D_D/A/I/P/ /P/O_O/N/D_H/R_R/A/ /K/A/N_N/G/A/L_L/ /U/R_D/A/I/Y/A/V/A_E_H/R/A_A/X/A/V/U_I/M/ /U_I/R/U/N/D_H/A_A/R/ /SIL|SIL/ /A/X/A_E_H/N/D_H/R/A/ /N/E/T_R/T_R/I/ /A/R_D/A_E_H/R/T_H/T_H/I/Y/A_A/N/A/ /K/E_E/S/A/M/ /E/N_G/G/O_O/ /K/A_E_H/N/A/V/U_I/L/A/X/A/T_H/T_H/I/L/ /N/I/L/A/I/T_H/T_H/U_I/R/U/P/P/A/D_D/A/I/P/ /P/O_O/N/D_H/R_R/A/ /K/A/N_N/G/A/L_L/ /U/R_D/A/I/Y/A/V/A_E_H/R/A_A/X/A/V/U_I/M/ /U_I/R/U/N/D_H/A_A/R/ /SIL
Segment_10|SIL/ /N/A_A/N/ /M/E_E/L/A/I/ /N/A_A/R_D/U_I/X/A/L_L/I/L/ /U/L_L/L_L/A/ /A/R_R/I/V/I/Y/A_E_H/L/ /S/A/N_G/G/A/N_G/G/A/L_L/U/K/K/U_I/P/ /P/A_E_H/Y/A/N_N/A/M/ /S/E/Y/T_H/U/ /V/I/T_T/T_T/U/ /S/A/M/I_I/F/A/T_H/T_H/I/L/ /T_H/A_A/N/ /T_H/U_I/R/U/M/B/I/ /V/A_E_H/N/D_H/E_E/N/ /SIL|SIL/ /N/A_A/N/ /M/E_E/L/A/I/ /N/A_A/R_D/U_I/X/A/L_L/I/L/ /U/L_L/L_L/A/ /A/R_R/I/V/I/Y/A_E_H/L/ /S/A/N_G/G/A/N_G/G/A/L_L/U/K/K/U_I/P/ /P/A_E_H/Y/A/N_N/A/M/ /S/E/Y/T_H/U/ /V/I/T_T/T_T/U/ /S/A/M/I_I/F/A/T_H/T_H/I/L/ /T_H/A_A/N/ /T_H/U_I/R/U/M/B/I/ /V/A_E_H/N/D_H/E_E/N/ /SIL
